,candidate,county,votes
246,Donald J. Trump,Johnson,2519
247,Hillary Clinton,Johnson,1136
248,Other,Johnson,27
249,Donald J. Trump,Jones,8305
250,Hillary Clinton,Jones,3961
251,Other,Jones,260
252,Donald J. Trump,Lamar,5190
253,Hillary Clinton,Lamar,2270
254,Other,Lamar,126
255,Donald J. Trump,Lanier,1984
256,Hillary Clinton,Lanier,806
257,Other,Lanier,73
258,Donald J. Trump,Laurens,12411
259,Hillary Clinton,Laurens,6752
260,Other,Laurens,313
261,Donald J. Trump,Lee,10646
262,Hillary Clinton,Lee,3170
263,Other,Lee,299
264,Donald J. Trump,Liberty,6134
265,Hillary Clinton,Liberty,9556
266,Other,Liberty,427
267,Donald J. Trump,Lincoln,2759
268,Hillary Clinton,Lincoln,1273
269,Other,Lincoln,70
270,Donald J. Trump,Long,2626
271,Hillary Clinton,Long,1360
272,Other,Long,131
273,Donald J. Trump,Lowndes,21635
274,Hillary Clinton,Lowndes,15064
275,Other,Lowndes,929
276,Donald J. Trump,Lumpkin,9619
277,Hillary Clinton,Lumpkin,2220
278,Other,Lumpkin,495
279,Donald J. Trump,Macon,1540
280,Hillary Clinton,Macon,2705
281,Other,Macon,42
282,Donald J. Trump,Madison,9201
283,Hillary Clinton,Madison,2425
284,Other,Madison,328
285,Donald J. Trump,Marion,1921
286,Hillary Clinton,Marion,1213
287,Other,Marion,49
288,Donald J. Trump,McDuffie,5432
289,Hillary Clinton,McDuffie,3699
290,Other,McDuffie,137
291,Donald J. Trump,McIntosh,3487
292,Hillary Clinton,McIntosh,2303
293,Other,McIntosh,113
294,Donald J. Trump,Meriwether,5222
295,Hillary Clinton,Meriwether,3804
296,Other,Meriwether,165
297,Donald J. Trump,Miller,1891
298,Hillary Clinton,Miller,623
299,Other,Miller,30
300,Donald J. Trump,Mitchell,4279
301,Hillary Clinton,Mitchell,3493
302,Other,Mitchell,93
303,Donald J. Trump,Monroe,8832
304,Hillary Clinton,Monroe,3571
305,Other,Monroe,284
306,Donald J. Trump,Montgomery,2670
307,Hillary Clinton,Montgomery,847
308,Other,Montgomery,45
309,Donald J. Trump,Morgan,6559
310,Hillary Clinton,Morgan,2663
311,Other,Morgan,218
312,Donald J. Trump,Murray,10341
313,Hillary Clinton,Murray,1800
314,Other,Murray,283
315,Donald J. Trump,Muscogee,26976
316,Hillary Clinton,Muscogee,39851
317,Other,Muscogee,1831
318,Donald J. Trump,Newton,20913
319,Hillary Clinton,Newton,21943
320,Other,Newton,947
321,Donald J. Trump,Oconee,13425
322,Hillary Clinton,Oconee,5581
323,Other,Oconee,925
324,Donald J. Trump,Oglethorpe,4625
325,Hillary Clinton,Oglethorpe,1831
326,Other,Oglethorpe,199
327,Donald J. Trump,Paulding,44662
328,Hillary Clinton,Paulding,18025
329,Other,Paulding,1954
330,Donald J. Trump,Peach,5413
331,Hillary Clinton,Peach,5100
332,Other,Peach,211
333,Donald J. Trump,Pickens,11651
334,Hillary Clinton,Pickens,1979
335,Other,Pickens,354
336,Donald J. Trump,Pierce,6302
337,Hillary Clinton,Pierce,903
338,Other,Pierce,93
339,Donald J. Trump,Pike,7278
340,Hillary Clinton,Pike,1240
341,Other,Pike,163
342,Donald J. Trump,Polk,11014
343,Hillary Clinton,Polk,2867
344,Other,Polk,289
345,Donald J. Trump,Pulaski,2437
346,Hillary Clinton,Pulaski,1104
347,Other,Pulaski,58
348,Donald J. Trump,Putnam,6544
349,Hillary Clinton,Putnam,2758
350,Other,Putnam,170
351,Donald J. Trump,Quitman,575
352,Hillary Clinton,Quitman,461
353,Other,Quitman,8
354,Donald J. Trump,Rabun,6287
355,Hillary Clinton,Rabun,1444
356,Other,Rabun,219
357,Donald J. Trump,Randolph,1271
358,Hillary Clinton,Randolph,1598
359,Other,Randolph,28
360,Donald J. Trump,Richmond,24461
361,Hillary Clinton,Richmond,48814
362,Other,Richmond,1811
363,Donald J. Trump,Rockdale,13478
364,Hillary Clinton,Rockdale,23255
365,Other,Rockdale,923
366,Donald J. Trump,Schley,1472
367,Hillary Clinton,Schley,401
368,Other,Schley,36
369,Donald J. Trump,Screven,3305
370,Hillary Clinton,Screven,2300
